,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BCAR1,13.423699740352273,1.1694964714527671,0.4527033937740219,2.583361396306541,0.009784277225193545,0.8765677218953175
CPNE8,342.24002256241994,-0.596688448416089,0.23036383467689478,-2.590200190290269,0.009592013311461204,0.8765677218953175
RNF207,5.71239126494981,1.8608323094269925,0.7160849121450614,2.5986196299720854,0.009359942454640792,0.8765677218953175
ATP5F1B,29.74650218518876,1.6824565228166075,0.6521573958933273,2.5798320059101267,0.009884838904796188,0.8765677218953175
SNHG10,3.97196560867921,2.5497198903344493,0.9845525872834561,2.589724432464851,0.0096052787927381,0.8765677218953175
AL359715.1,7.6101897789223765,-1.4591661865692125,0.5649133216329865,-2.5829912850191294,0.009794779715629906,0.8765677218953175
C19orf70,5.525726011442502,2.155666384067033,0.9239764116035795,2.3330318360896585,0.019646474474625485,0.8848987717149318
KCNV2,39.90292251709249,1.4714342898566888,0.6302793640890173,2.334574751599945,0.019565646811259396,0.8848987717149318
PHPT1,8.004678430880352,1.8525373053981984,0.7902028386777874,2.3443819924741978,0.019058640575073223,0.8848987717149318
PHLPP1,1120.1456649069146,-0.42948982481248255,0.1866735380891683,-2.3007536537252977,0.021405559477021385,0.8848987717149318
AC104699.1,3.6528346787244272,2.621831109257376,1.0347746307778924,2.5337218668440036,0.011285827017334394,0.8848987717149318
PHF1,23.829698371302534,1.2202415766147305,0.5284653978074679,2.3090283331271055,0.020942009056455324,0.8848987717149318
KIAA0895L,23.70922536982295,1.169732110136642,0.5044340839344668,2.3188998273332517,0.020400468502954752,0.8848987717149318
NCALD,404.1524876799081,-0.5532673651531057,0.24354528500099926,-2.2717227523038916,0.02310326107882381,0.8848987717149318
FBXL15,4.890555566108547,1.9912095387010729,0.837523021245507,2.377498275498006,0.017430524481323945,0.8848987717149318
NAV3,2766.0213991851983,-0.552610042846165,0.23738470072019727,-2.32790925939882,0.019916922478239205,0.8848987717149318
